1 0 5094
2 5094 9780
3 14874 1641
4 16515 730
5 17245 715
6 17960 2909
7 20869 1859
8 22728 2300
9 25028 3171
10 28199 2882
11 31081 2945
12 34026 2997
13 37023 2427
14 39450 2458
15 41908 2527
16 44435 843
17 45278 1585
18 46863 5819
19 52682 2567
20 55249 1277
21 56526 2034
22 58560 1569
23 60129 2887
24 63016 5792
25 68808 1184
26 69992 2811
27 72803 1833
28 74636 1226
29 75862 1110
30 76972 1767
31 78739 5981
33 84720 3429
34 88149 1584
35 89733 602
36 90335 2693
37 93028 888
38 93916 5750
39 99666 5200
40 104866 1602
41 106468 753
42 107221 782
43 108003 2474
44 110477 5789
45 116266 3727
46 119993 3703
47 123696 3661
51 127357 4042
55 131399 3826
56 135225 3745
62 138970 618
63 139588 5805
64 145393 674
65 146067 2794
66 148861 2857
67 151718 1082
68 152800 1265
69 154065 7570
70 161635 1474
71 163109 2286
72 165395 2082
73 167477 1447
74 168924 973
75 169897 1692
76 171589 2612
77 174201 1898
78 176099 17029
79 193128 1536
80 194664 4837
81 199501 2098
82 201599 2809
83 204408 6269
84 210677 513
85 211190 4022
86 215212 2030
87 217242 1202
88 218444 4648
89 223092 839
90 223931 2107
91 226038 1885
92 227923 4172
93 232095 4685
94 236780 9227
95 246007 4120
96 250127 2696
97 252823 830
98 253653 795
99 254448 898
100 255346 1043
101 256389 8490
102 264879 4209
103 269088 3210
104 272298 12842
105 285140 4559
106 289699 2356
107 292055 2412
108 294467 644
109 295111 1361
110 296472 10067
111 306539 21746
112 328285 856
113 329141 3498
114 332639 3819
115 336458 1407
116 337865 1052
117 338917 5744
118 344661 1197
119 345858 895
120 346753 10805
121 357558 1340
122 358898 17710
123 376608 9458
124 386066 2828
125 388894 3955
126 392849 1340
127 394189 4583
128 398772 5940
129 404712 1044
130 405756 862
131 406618 2286
132 408904 8150
133 417054 3239
134 420293 1826
135 422119 514
136 422633 1532
137 424165 2260
138 426425 3792
139 430217 5918
140 436135 1314
141 437449 3152
142 440601 1224
143 441825 1298
144 443123 1088
145 444211 5520
146 449731 914
147 450645 4348
148 454993 327
149 455320 8859
150 464179 3574
151 467753 1590
152 469343 1322
153 470665 6379
154 477044 4056
155 481100 1234
156 482334 2927
157 485261 2640
158 487901 1763
159 489664 4094
160 493758 12800
161 506558 1458
162 508016 4013
163 512029 3563
164 515592 1348
165 516940 1071
166 518011 3942
167 521953 6856
169 528809 1567
170 530376 1501
171 531877 1436
172 533313 2414
173 535727 2141
174 537868 1730
175 539598 1747
176 541345 1138
177 542483 1619
178 544102 788
179 544890 7004
180 551894 8111
181 560005 1460
182 561465 1066
183 562531 4650
184 567181 2405
185 569586 1148
186 570734 6417
187 577151 1753
188 578904 7534
189 586438 2148
190 588586 6371
191 594957 3974
192 598931 1374
193 600305 8314
194 608619 6875
195 615494 9510
196 625004 3623
197 628627 2206
198 630833 3372
199 634205 4709
200 638914 1662
201 640576 3674
202 644250 1993
203 646243 3209
204 649452 2854
205 652306 7570
206 659876 403
207 660279 505
208 660784 11253
209 672037 4484
210 676521 3669
211 680190 9019
212 689209 3400
213 692609 2044
214 694653 1994
215 696647 7124
216 703771 6457
217 710228 3683
218 713911 2239
219 716150 14962
220 731112 6407
221 737519 1321
222 738840 1968
223 740808 2930
224 743738 2577
225 746315 2129
226 748444 1581
227 750025 733
228 750758 1383
229 752141 727
230 752868 379
231 753247 3980
233 757227 3055
234 760282 4157
235 764439 7600
236 772039 5430
237 777469 1348
239 778817 1165
240 779982 921
241 780903 1851
242 782754 2412
243 785166 5489
244 790655 2503
245 793158 8093
246 801251 2463
247 803714 908
248 804622 839
249 805461 1635
250 807096 2231
251 809327 7279
252 816606 1633
253 818239 4761
